French,English
partie,part
chercher,search
seulement,only
demande,request
frère,brother
car,because
aucun,no
eux,them
parlé,speak
devrait,should
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
pourrais,could
donner,give
type,type
yeux,eyes
écoute,listen
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
tellement,so much
enfant,child
point,point
suite,after
vers,towards
mis,placed
enfin,finally
eau,water
nouvelle,new
arrêter,Stop
donne,given
chérie,sweetheart
plutôt,rather
bureau,office
